token_id,name,description,external_url,image,animation_url,item_category,item_compatibility,unlockable_content_link,address
46,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x206E77dbA5cBCaA4E6531677A7d0BD46e798D4B5
47,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x0600ca81eB7f1ee1Ce09F9D34817d9DC007B95Fd
48,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x8dD573B38feb5230100A158BAa11b108580a8822
49,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x83518c7538f3F57530BF6A8cD0D9115e5A042d51
50,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x33209a0aF8ba944607D140C58741D37e7A616d53
51,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x6e9D5D74f403073C21E81216996a152E56bB4d7A
52,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x6acd17121EFc92E56BEf29d4107173CBB4d1a165
53,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x7FfDA1de0Fa14B7026FBf3cDBD58CE08B3B166ED
54,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0x28064f8347572a06682a0EcBA6262398b1865666
55,Cool Jersey,Cool looking white jersey,https://unlock.getmod.art/,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,,Shirt,Roblox,https://github.com/mintondemand/design-club-beta/raw/main/wearables/Images/Roblox-NFTs-March/Cool%20Jersey.png,0xAb4e7384B90C4c6627f22295249f95458Eb7b52B
